Measure Names,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,TO,2014.00,23.381967826
Taxa / 100 mil habitantes,SP,2014.00,11.213729784
Taxa / 100 mil habitantes,SE,2014.00,46.585515959
Taxa / 100 mil habitantes,SC,2014.00,12.338066592
Taxa / 100 mil habitantes,RS,2014.00,24.011191303
Taxa / 100 mil habitantes,RR,2014.00,15.293719916
Taxa / 100 mil habitantes,RO,2014.00,30.196776608
Taxa / 100 mil habitantes,RN,2014.00,49.669797067
Taxa / 100 mil habitantes,RJ,2014.00,31.194617783
Taxa / 100 mil habitantes,PR,2014.00,24.238175903
Taxa / 100 mil habitantes,PI,2014.00,22.980905185
Taxa / 100 mil habitantes,PE,2014.00,37.011680774
Taxa / 100 mil habitantes,PB,2014.00,38.363187568
Taxa / 100 mil habitantes,PA,2014.00,42.841621992
Taxa / 100 mil habitantes,MT,2014.00,43.481537559
Taxa / 100 mil habitantes,MS,2014.00,24.659716902
Taxa / 100 mil habitantes,MG,2014.00,21.322365763
Taxa / 100 mil habitantes,MA,2014.00,30.623785193
Taxa / 100 mil habitantes,GO,2014.00,42.479008073
Taxa / 100 mil habitantes,ES,2014.00,41.260740856
Taxa / 100 mil habitantes,DF,2014.00,26.889900756
Taxa / 100 mil habitantes,CE,2014.00,50.194757695
Taxa / 100 mil habitantes,BA,2014.00,40.247591441
Taxa / 100 mil habitantes,AP,2014.00,33.159677832
Taxa / 100 mil habitantes,AM,2014.00,30.229160788
Taxa / 100 mil habitantes,AL,2014.00,64.161526870
Taxa / 100 mil habitantes,AC,2014.00,25.819483838
Taxa / 100 mil habitantes,Brasil,2014.00,28.155745366
Números absolutos,TO,2014.00,350.00
Números absolutos,SP,2014.00,4938.00
Números absolutos,SE,2014.00,1034.00
Números absolutos,SC,2014.00,830.00
Números absolutos,RS,2014.00,2691.00
Números absolutos,RR,2014.00,76.00
Números absolutos,RO,2014.00,528.00
Números absolutos,RN,2014.00,1693.00
Números absolutos,RJ,2014.00,5135.00
Números absolutos,PR,2014.00,2686.00
Números absolutos,PI,2014.00,734.00
Números absolutos,PE,2014.00,3434.00
Números absolutos,PB,2014.00,1513.00
Números absolutos,PA,2014.00,3459.00
Números absolutos,MT,2014.00,1402.00
Números absolutos,MS,2014.00,646.00
Números absolutos,MG,2014.00,4421.00
Números absolutos,MA,2014.00,2098.00
Números absolutos,GO,2014.00,2771.00
Números absolutos,ES,2014.00,1603.00
Números absolutos,DF,2014.00,767.00
Números absolutos,CE,2014.00,4439.00
Números absolutos,BA,2014.00,6088.00
Números absolutos,AP,2014.00,249.00
Números absolutos,AM,2014.00,1171.00
Números absolutos,AL,2014.00,2131.00
Números absolutos,AC,2014.00,204.00
Números absolutos,Brasil,2014.00,57091.00
Taxa / 100 mil habitantes,TO,2015.00,25.410427912
Taxa / 100 mil habitantes,SP,2015.00,9.829607227
Taxa / 100 mil habitantes,SE,2015.00,55.418408988
Taxa / 100 mil habitantes,SC,2015.00,13.388686926
Taxa / 100 mil habitantes,RS,2015.00,24.688895029
Taxa / 100 mil habitantes,RR,2015.00,17.007307209
Taxa / 100 mil habitantes,RO,2015.00,30.652571762
Taxa / 100 mil habitantes,RN,2015.00,46.133621911
Taxa / 100 mil habitantes,RJ,2015.00,26.374584109
Taxa / 100 mil habitantes,PR,2015.00,23.237443494
Taxa / 100 mil habitantes,PI,2015.00,20.822524040
Taxa / 100 mil habitantes,PE,2015.00,41.602451977
Taxa / 100 mil habitantes,PB,2015.00,37.812779914
Taxa / 100 mil habitantes,PA,2015.00,43.779211370
Taxa / 100 mil habitantes,MT,2015.00,41.310849289
Taxa / 100 mil habitantes,MS,2015.00,22.555526010
Taxa / 100 mil habitantes,MG,2015.00,20.791504148
Taxa / 100 mil habitantes,MA,2015.00,31.734118204
Taxa / 100 mil habitantes,GO,2015.00,42.552348238
Taxa / 100 mil habitantes,ES,2015.00,36.743834657
Taxa / 100 mil habitantes,DF,2015.00,23.397590940
Taxa / 100 mil habitantes,CE,2015.00,45.130808037
Taxa / 100 mil habitantes,BA,2015.00,39.719982999
Taxa / 100 mil habitantes,AP,2015.00,35.608122826
Taxa / 100 mil habitantes,AM,2015.00,35.928879608
Taxa / 100 mil habitantes,AL,2015.00,51.369524700
Taxa / 100 mil habitantes,AC,2015.00,25.264059200
Taxa / 100 mil habitantes,Brasil,2015.00,27.182109850
Números absolutos,TO,2015.00,385.00
Números absolutos,SP,2015.00,4364.00
Números absolutos,SE,2015.00,1243.00
Números absolutos,SC,2015.00,913.00
Números absolutos,RS,2015.00,2777.00
Números absolutos,RR,2015.00,86.00
Números absolutos,RO,2015.00,542.00
Números absolutos,RN,2015.00,1588.00
Números absolutos,RJ,2015.00,4365.00
Números absolutos,PR,2015.00,2594.00
Números absolutos,PI,2015.00,667.00
Números absolutos,PE,2015.00,3888.00
Números absolutos,PB,2015.00,1502.00
Números absolutos,PA,2015.00,3579.00
Números absolutos,MT,2015.00,1349.00
Números absolutos,MS,2015.00,598.00
Números absolutos,MG,2015.00,4339.00
Números absolutos,MA,2015.00,2191.00
Números absolutos,GO,2015.00,2813.00
Números absolutos,ES,2015.00,1444.00
Números absolutos,DF,2015.00,682.00
Números absolutos,CE,2015.00,4019.00
